run_time,model_name,search_type,grid_version,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score,best_params,notes
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,5,scale,0.7565198239183472,0.519392473241971,0.002091462062201097,29,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,5,auto,0.7565198239183472,0.519392473241971,0.002091462062201097,29,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,5,0.1,1.0,0.5472151134067463,0.031145747381432925,1,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,5,1,1.0,0.5463604125520455,0.03235181252962227,7,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,5,10,1.0,0.5472151134067463,0.031145747381432925,1,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,6,scale,0.7346164272160477,0.49891569343254144,0.004976683411681921,59,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,6,auto,0.7346164272160477,0.49891569343254144,0.004976683411681921,59,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,6,0.1,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,6,1,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,6,10,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,3,scale,0.973783682057822,0.5370340338407799,0.008116759771164727,23,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,3,auto,0.973783682057822,0.5370340338407799,0.008116759771164727,23,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,3,0.1,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,3,1,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,3,10,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,4,scale,0.9441184760902593,0.5127659064876147,0.02409739915889192,44,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,4,auto,0.9441184760902593,0.5127659064876147,0.02409739915889192,44,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,4,0.1,1.0,0.5153771886728296,0.012884129098099448,37,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,4,1,1.0,0.5169348210715835,0.015028497251553051,31,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,4,10,1.0,0.51610148773825,0.015429024285426132,34,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,5,scale,0.8957577864386995,0.5430213477071228,0.003236777114603355,10,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,5,auto,0.8957577864386995,0.5430213477071228,0.003236777114603355,10,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,5,0.1,1.0,0.5472151134067463,0.031145747381432925,1,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,5,1,1.0,0.5463604125520455,0.03235181252962227,7,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,5,10,1.0,0.5472151134067463,0.031145747381432925,1,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,6,scale,0.8521838492292663,0.5040631037690569,0.00896963204734916,57,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,6,auto,0.8521838492292663,0.5040631037690569,0.00896963204734916,57,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,6,0.1,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,6,1,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,10,6,10,1.0,0.5072729592892825,0.009678400891324258,46,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
